"Date","value","year","month"
1996-04-01,84697.2045743329,"1996","Apr"
1996-05-01,84750.127064803,"1996","May"
1996-06-01,84813.2147395171,"1996","Jun"
1996-07-01,84885.1334180432,"1996","Jul"
1996-08-01,84979.1613722999,"1996","Aug"
1996-09-01,85096.3151207116,"1996","Sep"
1996-10-01,85247.7128335451,"1996","Oct"
1996-11-01,85428.5260482846,"1996","Nov"
1996-12-01,85673.1893265565,"1996","Dec"
1997-01-01,85976.6836086404,"1997","Jan"
1997-02-01,86290.7242693774,"1997","Feb"
1997-03-01,86578.2719186785,"1997","Mar"
1997-04-01,86879.9237611182,"1997","Apr"
1997-05-01,87190.8513341804,"1997","May"
1997-06-01,87509.6569250318,"1997","Jun"
1997-07-01,87835.1969504447,"1997","Jul"
1997-08-01,88170.3939008895,"1997","Aug"
1997-09-01,88514.8030495553,"1997","Sep"
1997-10-01,88883.6086404066,"1997","Oct"
1997-11-01,89275.540025413,"1997","Nov"
1997-12-01,89723.9517153748,"1997","Dec"
1998-01-01,90185.5238095238,"1998","Jan"
1998-02-01,90672.5714285714,"1998","Feb"
1998-03-01,91116.9523809524,"1998","Mar"
1998-04-01,91562.6031746032,"1998","Apr"
1998-05-01,92001.7142857143,"1998","May"
1998-06-01,92444.126984127,"1998","Jun"
1998-07-01,92887.2380952381,"1998","Jul"
1998-08-01,93333.7777777778,"1998","Aug"
1998-09-01,93775.1111111111,"1998","Sep"
1998-10-01,94223.8095238095,"1998","Oct"
1998-11-01,94673.0158730159,"1998","Nov"
1998-12-01,95153.7142857143,"1998","Dec"
1999-01-01,95669.2698412698,"1999","Jan"
1999-02-01,96174.3492063492,"1999","Feb"
1999-03-01,96648.4444444444,"1999","Mar"
1999-04-01,97128.3809523809,"1999","Apr"
1999-05-01,97606.6031746032,"1999","May"
1999-06-01,98087.4285714286,"1999","Jun"
1999-07-01,98565.6507936508,"1999","Jul"
1999-08-01,99044.8253968254,"1999","Aug"
1999-09-01,99523.8095238095,"1999","Sep"
1999-10-01,100022.412698413,"1999","Oct"
1999-11-01,100543.365079365,"1999","Nov"
1999-12-01,101120.571428571,"1999","Dec"
2000-01-01,101760.19047619,"2000","Jan"
2000-02-01,102407.301587302,"2000","Feb"
2000-03-01,103019.746031746,"2000","Mar"
2000-04-01,103623.174603175,"2000","Apr"
2000-05-01,104206.73015873,"2000","May"
2000-06-01,104770.857142857,"2000","Jun"
2000-07-01,105311.873015873,"2000","Jul"
2000-08-01,105838.031746032,"2000","Aug"
2000-09-01,106358.285714286,"2000","Sep"
2000-10-01,106894.666666667,"2000","Oct"
2000-11-01,107448.444444444,"2000","Nov"
2000-12-01,108045.968253968,"2000","Dec"
2001-01-01,108686.285714286,"2001","Jan"
2001-02-01,109339.682539683,"2001","Feb"
2001-03-01,109970.666666667,"2001","Mar"
2001-04-01,110578.666666667,"2001","Apr"
2001-05-01,111150.412698413,"2001","May"
2001-06-01,111685.650793651,"2001","Jun"
2001-07-01,112178.412698413,"2001","Jul"
2001-08-01,112637.714285714,"2001","Aug"
2001-09-01,113076.888888889,"2001","Sep"
2001-10-01,113519.80952381,"2001","Oct"
2001-11-01,113967.936507937,"2001","Nov"
2001-12-01,114442.984126984,"2001","Dec"
2002-01-01,114971.682539683,"2002","Jan"
2002-02-01,115549.587301587,"2002","Feb"
2002-03-01,116138.53968254,"2002","Mar"
2002-04-01,116730.095238095,"2002","Apr"
2002-05-01,117315.936507937,"2002","May"
2002-06-01,117905.968253968,"2002","Jun"
2002-07-01,118496.761904762,"2002","Jul"
2002-08-01,119091.936507937,"2002","Aug"
2002-09-01,119708.825396825,"2002","Sep"
2002-10-01,120352.571428571,"2002","Oct"
2002-11-01,121101.46031746,"2002","Nov"
2002-12-01,121905.968253968,"2002","Dec"
2003-01-01,122619.746031746,"2003","Jan"
2003-02-01,123228.380952381,"2003","Feb"
2003-03-01,123854.984126984,"2003","Mar"
2003-04-01,124503.492063492,"2003","Apr"
2003-05-01,125178.222222222,"2003","May"
2003-06-01,125892.253968254,"2003","Jun"
2003-07-01,126877.525252525,"2003","Jul"
2003-08-01,127645.202020202,"2003","Aug"
2003-09-01,128427.525252525,"2003","Sep"
2003-10-01,129218.434343434,"2003","Oct"
2003-11-01,129982.26010101,"2003","Nov"
2003-12-01,130744.633838384,"2003","Dec"
2004-01-01,131581.273644388,"2004","Jan"
2004-02-01,132480.201765448,"2004","Feb"
2004-03-01,133483.921815889,"2004","Mar"
2004-04-01,134607.566204288,"2004","Apr"
2004-05-01,135835.308953342,"2004","May"
2004-06-01,137163.303909206,"2004","Jun"
2004-07-01,138517.044025157,"2004","Jul"
2004-08-01,139928.113207547,"2004","Aug"
2004-09-01,141366.981132075,"2004","Sep"
2004-10-01,142831.257861635,"2004","Oct"
2004-11-01,144261.823899371,"2004","Nov"
2004-12-01,145655.72327044,"2004","Dec"
2005-01-01,147002.5625,"2005","Jan"
2005-02-01,148176.0625,"2005","Feb"
2005-03-01,149241.433021807,"2005","Mar"
2005-04-01,150469.096573209,"2005","Apr"
2005-05-01,151740.872274143,"2005","May"
2005-06-01,153074.76635514,"2005","Jun"
2005-07-01,154437.252475248,"2005","Jul"
2005-08-01,155763.923267327,"2005","Aug"
2005-09-01,157020.668316832,"2005","Sep"
2005-10-01,158202.28960396,"2005","Oct"
2005-11-01,159273.514851485,"2005","Nov"
2005-12-01,160707.668521954,"2005","Dec"
2006-01-01,161558.020897357,"2006","Jan"
2006-02-01,162375.722188076,"2006","Feb"
2006-03-01,163189.489858636,"2006","Mar"
2006-04-01,163993.669330055,"2006","Apr"
2006-05-01,164696.496619545,"2006","May"
2006-06-01,165279.778733866,"2006","Jun"
2006-07-01,165374.572127139,"2006","Jul"
2006-08-01,165722.004889976,"2006","Aug"
2006-09-01,165977.322738386,"2006","Sep"
2006-10-01,166181.968215159,"2006","Oct"
2006-11-01,166333.496332518,"2006","Nov"
2006-12-01,166497.799511002,"2006","Dec"
2007-01-01,166638.278388278,"2007","Jan"
2007-02-01,166773.626373626,"2007","Feb"
2007-03-01,166893.58974359,"2007","Mar"
2007-04-01,166970.146520147,"2007","Apr"
2007-05-01,166874.603174603,"2007","May"
2007-06-01,166611.5995116,"2007","Jun"
2007-07-01,166287.667887668,"2007","Jul"
2007-08-01,165898.351648352,"2007","Aug"
2007-09-01,165467.643467643,"2007","Sep"
2007-10-01,164999.084249084,"2007","Oct"
2007-11-01,164480.586080586,"2007","Nov"
2007-12-01,163913.858363858,"2007","Dec"
2008-01-01,163260.890787065,"2008","Jan"
2008-02-01,162502.074435631,"2008","Feb"
2008-03-01,161714.032946919,"2008","Mar"
2008-04-01,160857.291031117,"2008","Apr"
2008-05-01,159820.927394753,"2008","May"
2008-06-01,158620.683343502,"2008","Jun"
2008-07-01,157372.898903776,"2008","Jul"
2008-08-01,156316.260657734,"2008","Aug"
2008-09-01,155338.063337393,"2008","Sep"
2008-10-01,154404.993909866,"2008","Oct"
2008-11-01,153543.727161998,"2008","Nov"
2008-12-01,152777.040194884,"2008","Dec"
2009-01-01,152044.917833232,"2009","Jan"
2009-02-01,151320.815581254,"2009","Feb"
2009-03-01,150617.650639075,"2009","Mar"
2009-04-01,149890.870359099,"2009","Apr"
2009-05-01,148997.748021911,"2009","May"
2009-06-01,148014.546561169,"2009","Jun"
2009-07-01,147243.430656934,"2009","Jul"
2009-08-01,146620.98540146,"2009","Aug"
2009-09-01,146129.927007299,"2009","Sep"
2009-10-01,145750.486618005,"2009","Oct"
2009-11-01,145512.773722628,"2009","Nov"
2009-12-01,145333.02919708,"2009","Dec"
2010-01-01,145184.316109422,"2010","Jan"
2010-02-01,145348.693009119,"2010","Feb"
2010-03-01,140141.689827682,"2010","Mar"
2010-04-01,139551.417454141,"2010","Apr"
2010-05-01,139198.832684825,"2010","May"
2010-06-01,139240.300166759,"2010","Jun"
2010-07-01,139012.465373961,"2010","Jul"
2010-08-01,138547.700831025,"2010","Aug"
2010-09-01,137995.567867036,"2010","Sep"
2010-10-01,137396.011080332,"2010","Oct"
2010-11-01,136644.653739612,"2010","Nov"
2010-12-01,135794.792243767,"2010","Dec"
2011-01-01,134748.399558499,"2011","Jan"
2011-02-01,133947.075055188,"2011","Feb"
2011-03-01,133188.631346578,"2011","Mar"
2011-04-01,132632.229580574,"2011","Apr"
2011-05-01,132286.479028698,"2011","May"
2011-06-01,131986.092715232,"2011","Jun"
2011-07-01,131603.520352035,"2011","Jul"
2011-08-01,131393.124312431,"2011","Aug"
2011-09-01,131233.99339934,"2011","Sep"
2011-10-01,131070.517051705,"2011","Oct"
2011-11-01,130888.613861386,"2011","Nov"
2011-12-01,130732.01320132,"2011","Dec"
2012-01-01,130531.671232877,"2012","Jan"
2012-02-01,130410.02739726,"2012","Feb"
2012-03-01,130395.452054795,"2012","Mar"
2012-04-01,130557.808219178,"2012","Apr"
2012-05-01,130823.452054795,"2012","May"
2012-06-01,131112.273972603,"2012","Jun"
2012-07-01,131419.540229885,"2012","Jul"
2012-08-01,131747.509578544,"2012","Aug"
2012-09-01,132081.280788177,"2012","Sep"
2012-10-01,132433.333333333,"2012","Oct"
2012-11-01,132833.059660646,"2012","Nov"
2012-12-01,133244.608648057,"2012","Dec"
2013-01-01,133659.257236483,"2013","Jan"
2013-02-01,134071.709448389,"2013","Feb"
2013-03-01,134579.082468596,"2013","Mar"
2013-04-01,135153.795740033,"2013","Apr"
2013-05-01,135699.016930639,"2013","May"
2013-06-01,136220.917531404,"2013","Jun"
2013-07-01,136686.049046322,"2013","Jul"
2013-08-01,137230.68119891,"2013","Aug"
2013-09-01,137721.852861035,"2013","Sep"
2013-10-01,138188.664850136,"2013","Oct"
2013-11-01,138665.177111717,"2013","Nov"
2013-12-01,139143.324250681,"2013","Dec"
2014-01-01,139495.160413268,"2014","Jan"
2014-02-01,139901.413811854,"2014","Feb"
2014-03-01,140366.449157151,"2014","Mar"
2014-04-01,140851.169113649,"2014","Apr"
2014-05-01,141257.368134856,"2014","May"
2014-06-01,141650.679717238,"2014","Jun"
2014-07-01,142019.967444384,"2014","Jul"
2014-08-01,142521.975040695,"2014","Aug"
2014-09-01,142999.674443842,"2014","Sep"
2014-10-01,143470.211611503,"2014","Oct"
2014-11-01,143966.847531199,"2014","Nov"
2014-12-01,144512.859468258,"2014","Dec"
2015-01-01,145033.206728161,"2015","Jan"
2015-02-01,145523.494302767,"2015","Feb"
2015-03-01,146096.798697775,"2015","Mar"
2015-04-01,146738.632664135,"2015","Apr"
2015-05-01,147327.889310906,"2015","May"
2015-06-01,147898.480737927,"2015","Jun"
2015-07-01,148543.78730331,"2015","Jul"
2015-08-01,149211.502984265,"2015","Aug"
2015-09-01,149844.546934346,"2015","Sep"
2015-10-01,150428.323385784,"2015","Oct"
2015-11-01,150992.078133478,"2015","Nov"
2015-12-01,151591.101465003,"2015","Dec"
2016-01-01,152214.324470971,"2016","Jan"
2016-02-01,152809.278350515,"2016","Feb"
2016-03-01,153465.870862724,"2016","Mar"
2016-04-01,154188.008681498,"2016","Apr"
2016-05-01,154852.848616386,"2016","May"
2016-06-01,155517.797069995,"2016","Jun"
2016-07-01,156275.149213239,"2016","Jul"
2016-08-01,157041.942485079,"2016","Aug"
2016-09-01,157808.627238199,"2016","Sep"
2016-10-01,158597.558328812,"2016","Oct"
2016-11-01,159361.150298426,"2016","Nov"
2016-12-01,160127.292457949,"2016","Dec"
2017-01-01,160924.525230602,"2017","Jan"
2017-02-01,161732.935431362,"2017","Feb"
2017-03-01,162621.540965817,"2017","Mar"
2017-04-01,163538.686923494,"2017","Apr"
2017-05-01,164367.498643516,"2017","May"
2017-06-01,165107.867607162,"2017","Jun"
2017-07-01,165896.690179056,"2017","Jul"
2017-08-01,166757.297883885,"2017","Aug"
2017-09-01,167635.32284319,"2017","Sep"
2017-10-01,168456.755290288,"2017","Oct"
2017-11-01,169247.802495931,"2017","Nov"
2017-12-01,169996.961475855,"2017","Dec"
2018-01-01,170986.435160065,"2018","Jan"
2018-02-01,172173.955507325,"2018","Feb"
2018-03-01,173184.861638633,"2018","Mar"
2018-04-01,174007.759088443,"2018","Apr"
2018-05-01,175018.176885513,"2018","May"
2018-06-01,175702.984264786,"2018","Jun"
"
2010-03-01,140141.689827682,"2010","Mar"
2010-04-01,139551.417454141,"2010","Apr"
2010-05-01,139198.832684825,"2010","May"
2010-06-01,139240.300166759,"2010","Jun"
2010-07-01,139012.465373961,"2010","Jul"
2010-08-01,138547.700831025,"2010","Aug"
2010-09-01,137995.567867036,"2010","Sep"
2010-10-01,137396.011080332,"2010","Oct"
2010-11-01,136644.653739612,"2010","Nov"
2010-12-01,135794.792243767,"2010","Dec"
2011-01-01,134748.399558499,"2011","Jan"
2011-02-01,133947.075055188,"2011","Feb"
2011-03-01,133188.631346578,"2011","Mar"
2011-04-01,132632.229580574,"2011","Apr"
2011-05-01,132286.479028698,"2011","May"
2011-06-01,131986.092715232,"2011","Jun"
2011-07-01,131603.520352035,"2011","Jul"
2011-08-01,131393.124312431,"2011","Aug"
2011-09-01,131233.99339934,"2011","Sep"
2011-10-01,131070.517051705,"2011","Oct"
2011-11-01,130888.613861386,"2011","Nov"
2011-12-01,130732.01320132,"2011","Dec"
2012-01-01,130531.671232877,"2012","Jan"
2012-02-01,130410.02739726,"2012","Feb"
2012-03-01,130395.452054795,"2012","Mar"
2012-04-01,130557.808219178,"2012","Apr"
2012-05-01,130823.452054795,"2012","May"
2012-06-01,131112.273972603,"2012","Jun"
2012-07-01,131419.540229885,"2012","Jul"
2012-08-01,131747.509578544,"2012","Aug"
2012-09-01,132081.280788177,"2012","Sep"
2012-10-01,132433.333333333,"2012","Oct"
2012-11-01,132833.059660646,"2012